id,x,y,radius,brightness
1,1828,3999,3,163.79310344827587
2,1718,3797,6,187.45070422535213
3,718,3554,4,199.53403141361255
4,2876,3206,2,196.58823529411765
5,2875,3192,4,204.19367588932806
6,1890,3080,2,202.2330827067669
7,1026,3047,2,199.73835125448028
8,2710,2940,5,205.14444444444445
9,1757,2787,3,202.23907455012852
10,650,2754,2,201.49751243781094
11,2498,2664,3,202.52204176334106
12,2565,2413,4,204.58958333333334
13,1964,2394,4,208.1531190926276
14,520,2233,1,207.56179775280899
15,2165,2181,4,208.7770154373928
16,2817,2162,2,207.98825503355704
17,1462,2113,2,208.6830870279146
18,1155,2073,2,207.37781350482314
19,1672,1983,3,206.17818740399386
20,1138,1871,3,206.4205882352941
21,180,1802,2,205.94516594516594
22,2718,1761,3,205.69806094182826
23,1813,1757,1,205.48418156808802
24,472,1714,2,204.4756756756757
25,1743,1595,1,204.12885906040268
26,1735,1570,3,204.8875968992248
27,1554,1486,2,204.24269377382464
28,2352,1348,3,204.42769607843138
29,2449,1310,3,204.7810650887574
30,1541,1267,2,205.39743589743588
31,1596,1234,2,205.7657864523536
32,1672,923,3,204.9
33,2539,886,1,204.74806629834254
34,1268,887,2,204.88779956427015
35,2061,569,3,205.44244984160508
36,1774,18,2,204.56875
37,2720,10,3,205.27704752275025
38,742,8,6,206.5716878402904
