id,x,y,radius,brightness
1,1393,3734,4,144.69387755102042
2,1302,3541,5,178.2923076923077
3,1910,3363,3,176.9748427672956
4,321,3279,4,184.6346153846154
5,2840,3231,5,195.0865051903114
6,2438,3032,3,191.27987421383648
7,2438,3020,4,197.38147138964578
8,1528,2872,2,195.6315789473684
9,2309,2779,5,199.85683297180043
10,1422,2584,2,199.4029535864979
11,2139,2507,3,201.15308151093438
12,1289,2392,0,201.07738095238096
13,2225,2275,4,203.251356238698
14,1651,2219,0,203.18231046931407
15,1657,2217,4,205.575456053068
16,2485,2051,2,204.9805194805195
17,967,2023,1,204.62962962962962
18,1869,2024,4,205.83582089552237
19,1182,1903,3,205.24749642346208
20,1727,1841,1,204.7911931818182
21,1404,1789,3,204.1050477489768
22,2431,1657,3,204.35564304461943
23,865,1627,4,202.33415536374847
24,1499,1377,3,202.9988095238095
25,2123,1213,3,202.57537399309552
26,2220,1185,3,202.71158129175947
27,2809,1100,2,202.20307354555433
28,1326,1044,3,202.91489361702128
29,1385,1016,2,203.0912906610703
30,422,841,1,202.79749478079333
31,1486,700,3,200.855116514691
32,1908,380,4,200.12451737451738
33,3001,165,3,199.93990610328638
34,2592,100,1,199.7570093457944
