id,x,y,radius,brightness
336,1153,1029,3,98.90939968801892
337,2402,1013,3,98.89181646763042
338,635,1012,4,98.86528224186421
339,1178,1003,4,98.84977302936825
340,1904,985,5,98.89465385192972
341,1329,979,4,98.84578656600755
342,55,976,6,98.85040881443813
343,2664,951,3,98.83225806451613
344,2300,940,5,98.76671804305673
345,1112,940,6,98.74181313369196
346,2861,929,2,98.73347045995241
347,151,919,3,98.71798618162006
348,2813,911,6,98.71445152368253
349,2721,909,4,98.69410255777817
350,2361,890,2,98.6857678272019
351,702,882,12,98.99785350147572
352,1815,877,14,99.41230473443883
353,2063,852,5,99.38389580484997
354,25,845,4,99.39805941542885
355,1266,831,3,99.39909981086451
356,1742,825,4,99.38866038547994
357,1854,805,4,99.35089688776364
358,567,784,4,99.31066895696154
359,2286,768,5,99.30328356787389
360,51,765,4,99.3020501355658
361,1005,760,3,99.30046345811051
362,653,750,4,99.28385243566613
363,1203,750,7,99.36235895252288
364,34,739,8,99.4319990581587
365,976,731,4,99.45464380629836
366,1303,728,2,99.44575848772689
367,178,711,9,99.55355849012504
368,215,700,5,99.53433956982224
369,335,694,5,99.53885021072485
370,1645,678,5,99.548758947662
371,2924,674,4,99.5365508275878
372,1820,673,4,99.54537865788619
373,573,669,3,99.55212605723554
374,66,661,5,99.54167823110372
375,2372,653,3,99.54163873800994
376,2054,651,7,99.5506748974985
377,85,627,4,99.5234567333134
378,624,615,3,99.50910512278121
379,479,615,7,99.48550674824133
380,1781,613,8,99.46694648478488
381,682,595,3,99.46169102058495
382,232,597,9,99.466953762466
383,1469,578,3,99.45208271988041
384,1826,569,2,99.44889271319234
385,2851,560,4,99.44837257696048
386,228,517,2,99.44570821273517
387,1889,516,6,99.44118907458781
388,1024,516,6,99.4895163104612
389,2241,501,1,99.48732426048814
390,167,496,5,99.46674600323334
391,113,487,4,99.44055175507458
392,1159,479,8,99.51476039480148
393,956,471,4,99.49811514353907
394,1315,470,5,99.47254631278946
395,658,463,3,99.46670078547429
396,472,462,2,99.46078213284692
397,43,463,4,99.44985889829567
398,1932,462,6,99.43587640748294
399,1980,454,5,99.41093435405004
400,1155,436,14,99.70113512333552
401,2064,409,5,99.64714214116057
402,1115,375,4,99.65154549412277
403,2612,367,3,99.63142552589788
404,2482,361,5,99.59550488599349
405,167,355,4,99.61838651597648
406,2213,361,12,99.78149978513107
407,453,336,2,99.77977788756901
408,1098,323,2,99.77432031954645
409,372,286,4,99.75962672959348
410,827,278,4,99.73962797874164
411,1025,278,7,99.83419135710166
412,2261,268,10,99.97780606832167
413,2019,260,4,99.94158417940186
414,797,230,2,99.93274283776911
415,3016,248,25,100.2967182381904
416,841,222,3,100.28501132386246
417,2991,239,33,99.23048334447634
418,1687,207,3,99.21753827407976
419,744,207,4,99.22103981779628
420,543,204,3,99.20849276898021
421,1751,195,7,99.22367442770495
422,2813,179,8,99.24053248094802
423,1596,182,12,99.42206462085491
424,1662,143,15,99.58377337628914
425,1360,131,6,99.56865132204679
426,1668,123,4,99.5719226895228
427,1854,104,4,99.54577732209312
428,2732,101,5,99.53826612826784
429,2056,73,5,99.49439712284686
430,1775,60,4,99.4738364946387
431,2041,60,10,99.58485600421085
432,263,52,4,99.58014837073904
433,2076,50,5,99.59237520159022
434,1057,7,4,99.59289929742388
435,667,6,6,99.61718516302722
