id,x,y,radius,brightness
190,2499,2248,9,109.69950364667747
191,2902,2235,3,109.64395893389977
192,196,2225,5,109.59660521809207
193,1625,2238,24,109.56867002355985
194,2378,2214,2,109.55143120960295
195,2454,2204,7,109.65427117245174
196,2219,2191,3,109.62295081967213
197,1285,2171,2,109.59946913184751
198,367,2166,4,109.5165296803653
199,187,2165,3,109.45765880797119
200,1080,2156,5,109.44366197183099
201,551,2158,7,109.37659641680581
202,2468,2151,1,109.36992420140768
203,2033,2152,4,109.30765767793635
204,1289,2128,3,109.26625303479904
205,123,2122,3,109.22122940146379
206,1215,2111,3,109.20367713004484
207,1103,2110,3,109.1484168570021
208,251,2100,6,109.13430175563676
209,662,2097,5,109.07108289304267
210,574,2095,4,109.02228424596845
211,1127,2087,6,108.99091910954375
212,56,2072,2,108.97096660498723
213,1857,2074,6,108.94976108018061
214,897,2052,2,108.9304241149667
215,2126,2050,3,108.88259747079158
216,1058,2047,5,108.85292578704107
217,809,2030,3,108.80233418978356
218,2120,2030,4,108.74300365026943
219,673,2025,2,108.73103148751358
220,902,2029,7,108.79265556226805
221,910,2014,12,108.93137337964924
222,2448,1984,4,108.85267385330796
223,768,1979,2,108.84041744127092
224,931,1967,7,108.81874291472478
225,2297,1961,5,108.74073144196167
226,1534,1946,8,109.0090890226188
227,1233,1940,4,108.97125579854207
228,2274,1917,8,109.03496158744505
229,78,1912,4,108.950020500205
230,687,1890,2,108.93931074048272
231,1342,1891,4,108.90070341894324
232,210,1892,9,109.00724549686298
233,867,1886,5,108.90599531993867
234,2257,1884,4,108.88681296557279
235,1227,1877,3,108.87146074646074
236,2531,1857,4,108.820655882471
237,1297,1851,2,108.80213431758004
238,449,1849,3,108.76453616509717
239,1543,1850,17,109.04602413366337
240,1628,1836,4,109.01814321559544
241,2287,1837,7,108.97746987026945
242,2579,1827,4,108.9368271846148
243,177,1804,2,108.92563945474039
244,2039,1794,4,108.91320466271738
245,1154,1742,2,108.90129116051646
246,2357,1734,7,108.67630189539257
247,278,1722,3,108.65336166337836
248,2407,1708,3,108.63820352472996
249,1983,1667,4,108.56204131043353
250,2664,1655,4,108.49359966771136
251,1933,1655,5,108.42681825026351
252,299,1633,3,108.38656789380664
253,1378,1630,3,108.35992787919766
254,1393,1617,6,108.2843837665981
255,1710,1608,1,108.27883320867615
